
                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: cuda
2026-06-09 17:43:04,371 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
GPU: AMD Instinct MI300X VF | Peak FLOPS (BF16): 1.31e+15
COMPUTE_DTYPE: torch.bfloat16 (auto-detected: CUDA SM 94 (bf16 supported))
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
WARNING: Flash Attention 3 not available, using PyTorch SDPA fallback
WARNING: Training will be less efficient without FA3
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Vocab size: 32,768
Model config:
{
  "sequence_len": 2048,
  "vocab_size": 32768,
  "n_layer": 24,
  "n_head": 12,
  "n_kv_head": 12,
  "n_embd": 1536,
  "window_pattern": "L"
}
Parameter counts:
wte                     : 50,331,648
value_embeds            : 603,979,776
lm_head                 : 50,331,648
transformer_matrices    : 679,478,976
scalars                 : 74
total                   : 1,384,122,122
Estimated FLOPs per token: 5.284833e+09
Scaling weight decay from 0.280000 to 0.042241 for depth 24
Scaling the LR for the AdamW parameters ∝1/√(1536/768) = 0.707107
Using user-provided number of iterations: 29,000
Total number of training tokens: 15,204,352,000
Tokens : Scaling params ratio: 20.83
Total training FLOPs estimate: 8.035247e+19
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 65,536
Total batch size 524,288 => gradient accumulation steps: 8
Step 00000 | Validation bpb: 3.141517
step 00000/29000 (0.00%) | loss: 10.398178 | lrm: 0.03 | dt: 17532.57ms | tok/sec: 29,903 | bf16_mfu: 12.09 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00001/29000 (0.00%) | loss: 10.380315 | lrm: 0.05 | dt: 7678.16ms | tok/sec: 68,283 | bf16_mfu: 27.60 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00002/29000 (0.01%) | loss: 10.349403 | lrm: 0.07 | dt: 7661.61ms | tok/sec: 68,430 | bf16_mfu: 27.66 | epoch: 1 pq: 0 rg: 3 | total time: 0.00m
step 00003/29000 (0.01%) | loss: 10.303255 | lrm: 0.10 | dt: 7654.45ms | tok/sec: 68,494 | bf16_mfu: 27.69 | epoch: 1 pq: 0 rg: 4 | total time: 0.00m
step 00004/29000 (0.01%) | loss: 10.239804 | lrm: 0.12 | dt: 7692.60ms | tok/sec: 68,154 | bf16_mfu: 27.55 | epoch: 1 pq: 0 rg: 5 | total time: 0.00m
step 00005/29000 (0.02%) | loss: 10.148959 | lrm: 0.15 | dt: 7737.83ms | tok/sec: 67,756 | bf16_mfu: 27.39 | epoch: 1 pq: 0 rg: 6 | total time: 0.00m
step 00006/29000 (0.02%) | loss: 10.029130 | lrm: 0.17 | dt: 7736.93ms | tok/sec: 67,764 | bf16_mfu: 27.39 | epoch: 1 pq: 0 rg: 7 | total time: 0.00m
step 00007/29000 (0.02%) | loss: 9.857683 | lrm: 0.20 | dt: 7738.97ms | tok/sec: 67,746 | bf16_mfu: 27.38 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00008/29000 (0.03%) | loss: 9.580191 | lrm: 0.23 | dt: 7698.19ms | tok/sec: 68,105 | bf16_mfu: 27.53 | epoch: 1 pq: 0 rg: 10 | total time: 0.00m
step 00009/29000 (0.03%) | loss: 9.413773 | lrm: 0.25 | dt: 7705.21ms | tok/sec: 68,043 | bf16_mfu: 27.50 | epoch: 1 pq: 0 rg: 11 | total time: 0.00m
step 00010/29000 (0.03%) | loss: 9.075945 | lrm: 0.28 | dt: 7713.92ms | tok/sec: 67,966 | bf16_mfu: 27.47 | epoch: 1 pq: 0 rg: 12 | total time: 0.00m
step 00011/29000 (0.04%) | loss: 8.783999 | lrm: 0.30 | dt: 7743.48ms | tok/sec: 67,707 | bf16_mfu: 27.37 | epoch: 1 pq: 0 rg: 13 | total time: 0.13m | eta: 3741.3m
step 00012/29000 (0.04%) | loss: 8.540312 | lrm: 0.33 | dt: 7744.31ms | tok/sec: 67,699 | bf16_mfu: 27.37 | epoch: 1 pq: 0 rg: 14 | total time: 0.26m | eta: 3741.3m
step 00013/29000 (0.04%) | loss: 8.316628 | lrm: 0.35 | dt: 7752.28ms | tok/sec: 67,630 | bf16_mfu: 27.34 | epoch: 1 pq: 0 rg: 15 | total time: 0.39m | eta: 3742.6m
step 00014/29000 (0.05%) | loss: 8.112906 | lrm: 0.38 | dt: 7778.37ms | tok/sec: 67,403 | bf16_mfu: 27.25 | epoch: 1 pq: 0 rg: 16 | total time: 0.52m | eta: 3746.3m
step 00015/29000 (0.05%) | loss: 7.910989 | lrm: 0.40 | dt: 7764.59ms | tok/sec: 67,522 | bf16_mfu: 27.29 | epoch: 1 pq: 0 rg: 17 | total time: 0.65m | eta: 3747.1m
step 00016/29000 (0.06%) | loss: 7.721306 | lrm: 0.42 | dt: 7757.69ms | tok/sec: 67,582 | bf16_mfu: 27.32 | epoch: 1 pq: 0 rg: 18 | total time: 0.78m | eta: 3747.0m
step 00017/29000 (0.06%) | loss: 7.556974 | lrm: 0.45 | dt: 7783.97ms | tok/sec: 67,354 | bf16_mfu: 27.23 | epoch: 1 pq: 0 rg: 19 | total time: 0.91m | eta: 3748.8m
step 00018/29000 (0.06%) | loss: 7.406405 | lrm: 0.47 | dt: 7772.34ms | tok/sec: 67,455 | bf16_mfu: 27.27 | epoch: 1 pq: 0 rg: 20 | total time: 1.03m | eta: 3749.4m
step 00019/29000 (0.07%) | loss: 7.272242 | lrm: 0.50 | dt: 7760.24ms | tok/sec: 67,560 | bf16_mfu: 27.31 | epoch: 1 pq: 0 rg: 21 | total time: 1.16m | eta: 3749.1m
step 00020/29000 (0.07%) | loss: 7.147964 | lrm: 0.53 | dt: 7804.73ms | tok/sec: 67,175 | bf16_mfu: 27.15 | epoch: 1 pq: 0 rg: 22 | total time: 1.29m | eta: 3751.1m
step 00021/29000 (0.07%) | loss: 7.024607 | lrm: 0.55 | dt: 7795.40ms | tok/sec: 67,256 | bf16_mfu: 27.19 | epoch: 1 pq: 0 rg: 23 | total time: 1.42m | eta: 3752.2m
step 00022/29000 (0.08%) | loss: 6.923013 | lrm: 0.57 | dt: 7776.00ms | tok/sec: 67,423 | bf16_mfu: 27.25 | epoch: 1 pq: 0 rg: 24 | total time: 1.55m | eta: 3752.4m
step 00023/29000 (0.08%) | loss: 6.820126 | lrm: 0.60 | dt: 7765.78ms | tok/sec: 67,512 | bf16_mfu: 27.29 | epoch: 1 pq: 0 rg: 26 | total time: 1.68m | eta: 3752.1m
step 00024/29000 (0.08%) | loss: 6.726327 | lrm: 0.62 | dt: 7791.96ms | tok/sec: 67,285 | bf16_mfu: 27.20 | epoch: 1 pq: 0 rg: 27 | total time: 1.81m | eta: 3752.8m
step 00025/29000 (0.09%) | loss: 6.640753 | lrm: 0.65 | dt: 7753.34ms | tok/sec: 67,620 | bf16_mfu: 27.33 | epoch: 1 pq: 0 rg: 28 | total time: 1.94m | eta: 3752.1m
step 00026/29000 (0.09%) | loss: 6.564202 | lrm: 0.68 | dt: 7773.51ms | tok/sec: 67,445 | bf16_mfu: 27.26 | epoch: 1 pq: 0 rg: 29 | total time: 2.07m | eta: 3752.1m
step 00027/29000 (0.09%) | loss: 6.487471 | lrm: 0.70 | dt: 7777.08ms | tok/sec: 67,414 | bf16_mfu: 27.25 | epoch: 1 pq: 0 rg: 30 | total time: 2.20m | eta: 3752.1m
step 00028/29000 (0.10%) | loss: 6.424299 | lrm: 0.72 | dt: 7760.14ms | tok/sec: 67,561 | bf16_mfu: 27.31 | epoch: 1 pq: 0 rg: 31 | total time: 2.33m | eta: 3751.7m
step 00029/29000 (0.10%) | loss: 6.375419 | lrm: 0.75 | dt: 7767.75ms | tok/sec: 67,495 | bf16_mfu: 27.28 | epoch: 1 pq: 0 rg: 32 | total time: 2.46m | eta: 3751.6m
step 00030/29000 (0.10%) | loss: 6.322584 | lrm: 0.78 | dt: 7753.86ms | tok/sec: 67,616 | bf16_mfu: 27.33 | epoch: 1 pq: 0 rg: 33 | total time: 2.59m | eta: 3751.1m
